"emptot","emptot2","emptot_diff","nj","southj","centralj","pa1","pa2","bk","kfc","roys","wage_st","wage_st2","co_owned","closed","wagegap"
34,20,-14,0,0,0,1,0,0,0,0,5,5.25,1,0,0
24,35.5,11.5,0,0,0,1,0,0,0,0,5.5,4.75,1,0,0
70.5,29,-41.5,0,0,0,0,1,1,0,0,5,4.75,0,0,0
23.5,36.5,13,0,0,0,0,1,1,0,0,5,5,0,0,0
11,11,0,0,0,0,0,1,0,1,0,5.25,5,1,0,0
9,8.5,-0.5,0,0,0,1,0,0,1,0,5,5,1,0,0
15.5,17.5,2,0,0,0,0,1,0,0,1,5,4.75,1,0,0
58,29,-29,0,0,0,0,1,1,0,0,5,5,0,0,0
26.5,30.5,4,0,0,0,0,1,1,0,0,5,4.5,0,0,0
28.5,26,-2.5,0,0,0,0,1,1,0,0,5.5,4.75,0,0,0
13.5,18,4.5,0,0,0,0,1,1,0,0,5,4.5,0,0,0
16.75,20,3.25,0,0,0,0,1,0,1,0,5.25,5,1,0,0
9.5,13.5,4,0,0,0,0,1,0,1,0,5,4.75,1,0,0
15,19,4,0,0,0,0,1,0,0,1,5,4.75,1,0,0
29.5,15.5,-14,0,0,0,0,1,0,0,1,5,4.75,0,0,0
18.5,14.5,-4,0,0,0,0,1,0,0,1,5,4.25,0,0,0
20.25,14,-6.25,0,0,0,0,1,0,0,1,5,5,1,0,0
36,19,-17,0,0,0,1,0,0,0,1,5,4.9,1,0,0
21,21,0,0,0,0,0,1,0,0,1,5,5,0,0,0
20.5,18,-2.5,0,0,0,0,1,0,0,1,5,4.75,1,0,0
19,20.5,1.5,0,0,0,0,1,0,0,0,5,5,1,0,0
14,13.5,-0.5,0,0,0,0,1,0,0,1,5,4.25,1,0,0
19,17.5,-1.5,0,0,0,0,1,0,0,1,5,4.75,1,0,0
32.5,25.5,-7,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
27,25.5,-1.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
19.5,27,7.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
24,16,-8,0,0,0,1,0,1,0,0,4.5,4.25,0,0,0
18,19,1,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
19,25,6,0,0,0,1,0,1,0,0,4.25,4.38,0,0,0
14,17,3,0,0,0,1,0,0,1,0,4.5,4.75,0,0,0
10.5,16.5,6,0,0,0,1,0,0,1,0,4.25,4.25,0,0,0
38,20,-18,0,0,0,1,0,0,0,0,4.67,4.5,1,0,0
23.5,18,-5.5,0,0,0,1,0,0,0,0,4.75,4.5,1,0,0
10.5,12,1.5,0,0,0,1,0,0,0,0,4.25,4.25,0,0,0
25,25,0,0,0,0,1,0,0,0,0,4.25,4.25,0,0,0
11,11,0,0,0,0,0,1,0,1,0,4.75,4.25,1,0,0
36.5,27,-9.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
52.5,34,-18.5,0,0,0,1,0,1,0,0,4.5,5.05,0,0,0
45,37.5,-7.5,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
22.75,21,-1.75,0,0,0,1,0,1,0,0,4.25,4.25,0,0,0
7.5,9.5,2,0,0,0,1,0,0,1,0,4.25,4.25,0,0,0
38,18,-20,0,0,0,1,0,0,0,0,4.25,4.25,0,0,0
17.5,19,1.5,0,0,0,1,0,0,0,0,4.25,4.35,0,0,0
25,31.5,6.5,0,0,0,1,0,0,0,0,4.25,4.5,0,0,0
21,24.5,3.5,0,0,0,0,1,1,0,0,4.75,4.5,0,0,0
15.5,27.5,12,0,0,0,0,1,1,0,0,4.87,5,0,0,0
15.5,34.5,19,0,0,0,0,1,1,0,0,4.75,4.75,0,0,0
8.5,14,5.5,0,0,0,0,1,0,1,0,4.5,5,1,0,0
18,15,-3,0,0,0,0,1,0,0,1,4.25,4.35,1,0,0
39,26.5,-12.5,0,0,0,0,1,1,0,0,4.25,4.25,0,0,0
41.5,23.5,-18,0,0,0,0,1,1,0,0,4.25,4.9,0,0,0
22.5,35.5,13,0,0,0,0,1,1,0,0,4.75,4.5,0,0,0
32,21,-11,0,0,0,0,1,1,0,0,4.5,4.5,0,0,0
24,23,-1,0,0,0,1,0,1,0,0,4.25,4.75,0,0,0
26,20,-6,0,0,0,0,1,1,0,0,4.25,6.25,0,0,0
48.5,27,-21.5,0,0,0,1,0,1,0,0,4.5,4.35,0,0,0
8.5,13,4.5,0,0,0,0,1,0,1,0,4.5,4.5,1,0,0
18.5,0,-18.5,0,0,0,0,1,0,0,1,4.5,NA,0,1,0
13,13.5,0.5,0,0,0,0,1,0,0,1,4.5,4.5,1,0,0
28,26.75,-1.25,0,0,0,0,1,0,0,0,4.75,5,1,0,0
24.5,43.5,19,0,0,0,0,1,1,0,0,4.25,4.75,0,0,0
18.5,41.25,22.75,0,0,0,0,1,1,0,0,4.75,4.5,0,0,0
15,12.5,-2.5,0,0,0,0,1,0,0,1,4.75,4.75,1,0,0
18,34,16,0,0,0,0,1,0,0,1,4.5,4.25,0,0,0
20.25,10,-10.25,0,0,0,0,1,0,0,1,4.75,4.91,1,0,0
15.5,14,-1.5,0,0,0,1,0,1,0,0,4.25,4.4,0,0,0
21,17.5,-3.5,0,0,0,1,0,1,0,0,4.35,4.25,0,0,0
5,8,3,1,0,1,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
16,15.5,-0.5,1,0,1,0,0,0,1,0,5.12,5.05,0,0,0
41.5,24,-17.5,1,0,0,0,0,1,0,0,5.56,5.05,0,0,0
13,7.5,-5.5,1,0,1,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
10,7.5,-2.5,1,0,0,0,0,0,1,0,5,5.05,0,0,0.00999999999999996
15,18.5,3.5,1,0,1,0,0,0,1,0,5.25,5.05,0,0,0
26,16.5,-9.5,1,0,0,0,0,0,0,1,5,5.05,0,0,0.00999999999999996
18,33.5,15.5,1,0,1,0,0,0,0,0,5.5,5.05,0,0,0
35,37,2,1,0,0,0,0,0,0,1,5,5.05,0,0,0.00999999999999996
21,18,-3,1,0,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
34.5,26.5,-8,1,0,0,0,0,0,0,0,5,5.05,0,0,0.00999999999999996
18.25,33,14.75,1,0,0,0,0,0,0,0,5,5.05,0,0,0.00999999999999996
20,20.5,0.5,1,0,1,0,0,1,0,0,5.5,5.05,0,0,0
16,24.5,8.5,1,0,1,0,0,1,0,0,5,5.5,1,0,0.00999999999999996
17.5,16,-1.5,1,0,1,0,0,0,1,0,5,5.05,0,0,0.00999999999999996
20,23.5,3.5,1,0,0,0,0,0,0,0,5,5.05,0,0,0.00999999999999996
12.25,13,0.75,1,0,1,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
33,20,-13,1,0,1,0,0,0,0,1,5.25,5.05,0,0,0
31.5,22,-9.5,1,0,1,0,0,0,0,1,5.5,5.05,0,0,0
28,25.5,-2.5,1,0,1,0,0,0,0,0,5.05,5.05,0,0,0
16.5,18,1.5,1,0,0,0,0,1,0,0,5,5.28,0,0,0.00999999999999996
14.75,9,-5.75,1,0,0,0,0,1,0,0,5.12,5.25,0,0,0
23.5,26.5,3,1,0,0,0,0,1,0,0,5.25,5.05,0,0,0
10,0,-10,1,0,0,0,0,1,0,0,5,NA,0,1,0.00999999999999996
46.5,23.75,-22.75,1,0,0,0,0,1,0,0,5.12,5.05,0,0,0
15.5,18,2.5,1,0,0,0,0,0,1,0,5,5.5,0,0,0.00999999999999996
24.5,36,11.5,1,0,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
24,21,-3,1,0,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
23,15.5,-7.5,1,0,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
28,22.5,-5.5,1,0,0,0,0,0,0,0,5,5.05,0,0,0.00999999999999996
32.5,27,-5.5,1,0,0,0,0,1,0,0,5,5.05,1,0,0.00999999999999996
23,34,11,1,0,0,0,0,1,0,0,5,5.05,1,0,0.00999999999999996
17,16.75,-0.25,1,0,0,0,0,0,0,1,5.62,5.05,0,0,0
30,26,-4,1,0,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
21.5,18,-3.5,1,0,0,0,0,0,0,0,5,5.05,1,0,0.00999999999999996
32,20.5,-11.5,1,0,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
8,15,7,1,0,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
35.5,25.5,-10,1,0,0,0,0,0,0,1,5.1,5.05,1,0,0
33,20,-13,1,0,0,0,0,0,0,1,5.25,5.05,1,0,0
22,18,-4,1,0,0,0,0,0,0,1,5.5,5.05,0,0,0
23,26.5,3.5,1,1,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
23,23.25,0.25,1,1,0,0,0,1,0,0,5,5.05,1,0,0.00999999999999996
8.5,10.5,2,1,1,0,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
12.5,12,-0.5,1,1,0,0,0,0,1,0,5.05,5.25,1,0,0
9.5,9.5,0,1,1,0,0,0,0,1,0,5.5,5.05,1,0,0
13,15.5,2.5,1,1,0,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
17,14.5,-2.5,1,0,0,0,0,1,0,0,5.3,5.05,1,0,0
9,14,5,1,0,0,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
19,6.5,-12.5,1,0,0,0,0,0,1,0,5,5.05,1,0,0.00999999999999996
11.5,10,-1.5,1,1,0,0,0,0,1,0,5,5.05,0,0,0.00999999999999996
13,11.5,-1.5,1,1,0,0,0,0,1,0,5,5.05,0,0,0.00999999999999996
48,46.5,-1.5,1,1,0,0,0,0,0,1,5.25,5.05,0,0,0
45.5,26.5,-19,1,1,0,0,0,0,0,1,5.15,5.05,1,0,0
15,16,1,1,1,0,0,0,0,0,0,5.42,5.67,0,0,0
18,13,-5,1,1,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
21,14,-7,1,1,0,0,0,0,0,1,5,5.05,1,0,0.00999999999999996
20.5,15.5,-5,1,1,0,0,0,0,0,0,5.06,5.05,0,0,0
20.5,18,-2.5,1,1,0,0,0,0,0,0,5.05,5.05,0,0,0
17.5,27,9.5,1,0,0,0,0,0,0,0,5,5.25,0,0,0.00999999999999996
27.5,27,-0.5,1,0,0,0,0,1,0,0,5,5.25,0,0,0.00999999999999996
24,29.5,5.5,1,0,0,0,0,1,0,0,5,5.05,1,0,0.00999999999999996
34,16.5,-17.5,1,0,0,0,0,1,0,0,5.25,5.5,0,0,0
18,31.5,13.5,1,0,0,0,0,1,0,0,5,5.05,1,0,0.00999999999999996
24,27.5,3.5,1,0,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
33.5,32,-1.5,1,0,0,0,0,0,0,0,5,5.5,1,0,0.00999999999999996
12,14.5,2.5,1,0,0,0,0,0,0,0,5.75,5.5,1,0,0
35,10.5,-24.5,1,0,0,0,0,1,0,0,5,5.05,0,0,0.00999999999999996
35,44,9,1,0,1,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
16,15.5,-0.5,1,0,1,0,0,1,0,0,4.75,5.25,0,0,0.0631578947368421
15.5,10.5,-5,1,0,1,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
19,24,5,1,0,1,0,0,0,0,1,4.75,5.05,0,0,0.0631578947368421
24,29,5,1,0,1,0,0,0,0,1,4.5,5.15,0,0,0.122222222222222
36,20,-16,1,0,1,0,0,1,0,0,4.37,5.05,0,0,0.155606407322654
29,26.5,-2.5,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
29,27,-2,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21.25,26.5,5.25,1,0,1,0,0,1,0,0,4.37,5.05,0,0,0.155606407322654
15.5,10.5,-5,1,0,1,0,0,0,1,0,4.5,5,0,0,0.122222222222222
19.5,18,-1.5,1,0,1,0,0,0,0,1,4.6,5.05,0,0,0.0978260869565218
21,18.5,-2.5,1,0,1,0,0,0,0,1,4.5,5.05,0,0,0.122222222222222
14,25.5,11.5,1,0,1,0,0,0,0,1,4.37,5.05,0,0,0.155606407322654
30.5,32,1.5,1,0,1,0,0,0,0,1,4.25,5.05,0,0,0.188235294117647
23.5,33,9.5,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
14,7.5,-6.5,1,1,0,0,0,0,1,0,4.45,5.05,0,0,0.134831460674157
14.5,12.5,-2,1,1,0,0,0,0,0,1,4.35,5.05,0,0,0.160919540229885
15.5,24,8.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
26.5,29,2.5,1,0,1,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
5.5,9.5,4,1,0,0,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
23.25,17.5,-5.75,1,0,0,0,0,0,0,1,4.5,5.05,0,0,0.122222222222222
15.5,17.5,2,1,0,0,0,0,0,0,1,4.95,5.05,1,0,0.0202020202020201
32.25,25,-7.25,1,0,0,0,0,0,0,0,4.5,5.05,0,0,0.122222222222222
30,26,-4,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
30.5,22.5,-8,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
27,35,8,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
18.5,17.75,-0.75,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
38,24.5,-13.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
16.5,16.5,0,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
50,30,-20,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
20.5,39,18.5,1,0,0,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
6.5,17,10.5,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
13.5,12.5,-1,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
28,38.5,10.5,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
21.5,20,-1.5,1,0,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
24,32,8,1,0,1,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
20.5,19,-1.5,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
23.5,26.5,3,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
23,19,-4,1,0,1,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
17,20,3,1,0,1,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
20.5,22.5,2,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
23.5,10,-13.5,1,0,1,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
9.5,12.5,3,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
10,11,1,1,0,1,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
14,12.5,-1.5,1,0,1,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
85,59,-26,1,0,1,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
15,19,4,1,0,1,0,0,0,0,1,4.75,5.05,0,0,0.0631578947368421
21.5,15.5,-6,1,1,0,0,0,0,0,1,4.4,5.05,0,0,0.147727272727273
53,19,-34,1,0,1,0,0,0,0,0,4.62,5.05,0,0,0.093073593073593
24,26.5,2.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
20.5,17.5,-3,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
14.5,20.5,6,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
25,28,3,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
27,30.25,3.25,1,0,0,0,0,0,0,1,4.25,5.05,0,0,0.188235294117647
22.5,44,21.5,1,0,1,0,0,1,0,0,4.75,5.25,0,0,0.0631578947368421
36.5,17.5,-19,1,0,1,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
