"emptot","emptot2","emptot_diff","nj","southj","centralj","pa1","pa2","bk","kfc","roys","wage_st","wage_st2","co_owned","closed","wagegap"
17.25,31,13.75,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21.5,31,9.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
24.5,28.5,4,1,0,0,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
19,19,0,1,0,1,0,0,1,0,0,4.5,5.05,1,0,0.122222222222222
25,41,16,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
16,28,12,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
19,9.5,-9.5,1,0,1,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
22.75,25,2.25,1,0,1,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
35,28,-7,1,0,1,0,0,0,0,1,4.5,5.5,1,0,0.122222222222222
16,16,0,1,0,1,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
21,22.75,1.75,1,0,1,0,0,0,0,1,4.62,5.05,0,0,0.093073593073593
30.5,32,1.5,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
23,27.5,4.5,1,0,1,0,0,0,0,0,4.5,5.67,0,0,0.122222222222222
21.5,25.5,4,1,0,1,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
36.5,60.5,24,1,0,0,0,0,0,0,0,4.25,5.05,0,0,0.188235294117647
23,20.5,-2.5,1,0,0,0,0,1,0,0,4.8,5.05,0,0,0.0520833333333333
14,16,2,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
17.25,25,7.75,1,0,0,0,0,1,0,0,4.67,5.75,0,0,0.0813704496788008
18.5,13,-5.5,1,0,0,0,0,1,0,0,4.87,5.05,0,0,0.0369609856262833
8.5,9,0.5,1,0,0,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
14,16.5,2.5,1,0,0,0,0,0,1,0,4.5,5.25,0,0,0.122222222222222
23,21,-2,1,0,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
29,21.5,-7.5,1,0,0,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
19,20,1,1,0,0,0,0,1,0,0,4.25,5.25,0,0,0.188235294117647
21,21.25,0.25,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
17,21.5,4.5,1,0,0,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
36,31,-5,1,0,0,0,0,1,0,0,4.85,5.05,0,0,0.0412371134020619
25,33,8,1,0,0,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
29.5,37.75,8.25,1,0,0,0,0,1,0,0,4.62,5.05,0,0,0.093073593073593
22,9,-13,1,0,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
11,11,0,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
13.5,12.75,-0.75,1,0,0,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
13.5,10.5,-3,1,1,0,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
18,22,4,1,0,0,0,0,0,1,0,4.62,5.05,0,0,0.093073593073593
9.5,8,-1.5,1,0,1,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
24,25,1,1,0,0,0,0,0,0,1,4.75,5.05,0,0,0.0631578947368421
14.5,12.5,-2,1,0,0,0,0,0,0,1,4.75,5.05,0,0,0.0631578947368421
29,22.5,-6.5,1,0,0,0,0,0,0,0,4.87,5.25,0,0,0.0369609856262833
10.5,11.5,1,1,0,0,0,0,0,0,0,4.5,5.05,0,0,0.122222222222222
18,23.5,5.5,1,0,0,0,0,0,0,0,4.25,5.05,0,0,0.188235294117647
9,16.5,7.5,1,0,0,0,0,0,1,0,4.35,5.05,0,0,0.160919540229885
33,29,-4,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
19.5,30,10.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
41,22.5,-18.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
17,24,7,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
18.25,21.75,3.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
17,13.5,-3.5,1,0,0,0,0,0,1,0,4.75,5.2,1,0,0.0631578947368421
32,24,-8,1,0,0,0,0,0,0,1,4.62,5.05,1,0,0.093073593073593
26,28.5,2.5,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
11.5,10,-1.5,1,0,0,0,0,0,0,0,4.5,5.05,1,0,0.122222222222222
21,23.5,2.5,1,1,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
22.75,30.5,7.75,1,1,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
18.5,24.75,6.25,1,1,0,0,0,1,0,0,4.55,5.05,1,0,0.10989010989011
20,22.5,2.5,1,1,0,0,0,1,0,0,4.62,5.05,0,0,0.093073593073593
18,28,10,1,1,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
10.5,14,3.5,1,1,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
10.5,9,-1.5,1,1,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
11,9.5,-1.5,1,1,0,0,0,0,1,0,4.35,5.05,1,0,0.160919540229885
10.5,15.5,5,1,1,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
12.5,12,-0.5,1,1,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
18,11.5,-6.5,1,1,0,0,0,0,1,0,4.6,5.05,0,0,0.0978260869565218
17,12.5,-4.5,1,1,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
15,16,1,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
19.5,28.5,9,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
13,15,2,1,1,0,0,0,0,0,0,4.25,5.3,0,0,0.188235294117647
20.25,23.5,3.25,1,1,0,0,0,0,0,0,4.5,5.05,0,0,0.122222222222222
26,30.5,4.5,1,0,0,0,0,1,0,0,4.5,5.5,0,0,0.122222222222222
15.5,26.5,11,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
24,27,3,1,0,0,0,0,1,0,0,4.75,5.05,0,0,0.0631578947368421
25.5,21.5,-4,1,0,0,0,0,1,0,0,4.65,5.05,0,0,0.086021505376344
21.5,21.5,0,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
14,37.5,23.5,1,0,0,0,0,0,1,0,4.75,5.05,1,0,0.0631578947368421
20,11.5,-8.5,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
22.5,21,-1.5,1,0,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
30,28,-2,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
24,24,0,1,0,0,0,0,0,0,0,4.5,5.05,0,0,0.122222222222222
22,23,1,1,0,0,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
13,19,6,1,1,0,0,0,1,0,0,4.37,5.05,0,0,0.155606407322654
5,7,2,1,1,0,0,0,0,1,0,4.5,5.05,1,0,0.122222222222222
13.5,14,0.5,1,1,0,0,0,0,0,1,4.87,5.05,1,0,0.0369609856262833
18,32,14,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
24,22,-2,1,1,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
16.5,14.25,-2.25,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
7,16.5,9.5,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
11,0,-11,1,1,0,0,0,1,0,0,4.25,NA,0,1,0.188235294117647
19.5,47.5,28,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
10,15.5,5.5,1,1,0,0,0,0,1,0,4.45,5.05,1,0,0.134831460674157
13,10.5,-2.5,1,1,0,0,0,0,1,0,4.62,5.05,1,0,0.093073593073593
10,7,-3,1,1,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
12.5,11,-1.5,1,1,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
8,8.5,0.5,1,1,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
12,0,-12,1,1,0,0,0,0,0,1,4.25,NA,1,1,0.188235294117647
20.5,15,-5.5,1,1,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
18.5,13.5,-5,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
11.5,12.5,1,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
15,12.5,-2.5,1,1,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
13,12.5,-0.5,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
10,10,0,1,1,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
17,13.5,-3.5,1,1,0,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
17,16,-1,1,1,0,0,0,0,0,0,4.55,5.1,0,0,0.10989010989011
20.5,23.5,3,1,1,0,0,0,0,0,0,4.8,5.05,0,0,0.0520833333333333
19.5,34,14.5,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
30.5,32.5,2,1,0,0,0,0,0,0,1,4.35,5.05,1,0,0.160919540229885
23,21.5,-1.5,1,0,0,0,0,0,0,1,4.5,5.05,0,0,0.122222222222222
13,20,7,1,0,0,0,0,0,0,1,4.39,5.05,1,0,0.150341685649203
30.25,43.5,13.25,1,0,0,0,0,0,0,1,4.25,5.2,1,0,0.188235294117647
18,17.5,-0.5,1,0,0,0,0,0,0,0,4.25,5.05,0,0,0.188235294117647
10,7,-3,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
17,22,5,1,1,0,0,0,1,0,0,4.62,5.25,0,0,0.093073593073593
25.5,22,-3.5,1,1,0,0,0,1,0,0,4.62,5.05,1,0,0.093073593073593
6,7,1,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
11.5,14,2.5,1,1,0,0,0,0,1,0,4.75,5.05,0,0,0.0631578947368421
8.5,27,18.5,1,1,0,0,0,0,1,0,4.62,5.05,0,0,0.093073593073593
18.5,18.5,0,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
15.5,11.5,-4,1,1,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
14.25,16,1.75,1,0,1,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
38,25,-13,1,1,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
24.75,30.5,5.75,1,1,0,0,0,1,0,0,4.87,5.05,1,0,0.0369609856262833
23,11.5,-11.5,1,1,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
24,25.5,1.5,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
7.5,9.5,2,1,1,0,0,0,0,1,0,4.62,5.05,1,0,0.093073593073593
15,11.5,-3.5,1,1,0,0,0,0,1,0,4.75,5.05,1,0,0.0631578947368421
11.25,0,-11.25,1,0,1,0,0,0,0,1,4.25,NA,1,1,0.188235294117647
16.5,17,0.5,1,1,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
18.75,24,5.25,1,1,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
15,17,2,1,1,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
17.5,28,10.5,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
17.5,21.5,4,1,1,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
15.5,19.5,4,1,1,0,0,0,0,1,0,4.25,5.2,0,0,0.188235294117647
16.5,20,3.5,1,1,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
13.5,14.5,1,1,1,0,0,0,0,0,1,4.5,5.05,0,0,0.122222222222222
13,14.5,1.5,1,1,0,0,0,0,0,0,4.25,5.05,0,0,0.188235294117647
11.5,0,-11.5,1,0,0,0,0,1,0,0,4.35,NA,1,1,0.160919540229885
29.05,31.5,2.45,1,0,0,0,0,1,0,0,4.85,5.05,0,0,0.0412371134020619
13,11.5,-1.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
18,20,2,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
30,34,4,1,0,0,0,0,1,0,0,4.62,5.05,0,0,0.093073593073593
20.5,25,4.5,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
10,10,0,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
26,25,-1,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
12.5,23,10.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
19.5,17.5,-2,1,0,0,0,0,0,1,0,4.25,5.05,0,0,0.188235294117647
12,23,11,1,0,0,0,0,0,1,0,4.62,5.25,1,0,0.093073593073593
36,26,-10,1,0,0,0,0,0,0,1,4.87,5.4,1,0,0.0369609856262833
21,16.5,-4.5,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
24.5,35.5,11,1,0,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
20,31,11,1,0,0,0,0,0,0,1,4.87,5.05,1,0,0.0369609856262833
26.5,23,-3.5,1,0,0,0,0,0,0,1,4.5,5.05,1,0,0.122222222222222
15,22.5,7.5,1,0,0,0,0,0,0,1,4.25,5.05,0,0,0.188235294117647
19,21.5,2.5,1,0,0,0,0,0,0,1,4.75,5.05,1,0,0.0631578947368421
17.5,12,-5.5,1,0,0,0,0,0,0,1,4.32,5.05,1,0,0.168981481481481
20.5,20.5,0,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21,25,4,1,0,0,0,0,1,0,0,4.5,5.05,0,0,0.122222222222222
10.5,8.5,-2,1,0,1,0,0,0,1,0,4.5,5.05,0,0,0.122222222222222
23,13,-10,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
23,21.5,-1.5,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
29,23,-6,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
21,25.5,4.5,1,0,0,0,0,1,0,0,4.25,5.05,1,0,0.188235294117647
41.5,21.5,-20,1,0,0,0,0,1,0,0,4.25,5.05,0,0,0.188235294117647
12,9.5,-2.5,1,0,0,0,0,0,1,0,4.25,5.05,1,0,0.188235294117647
33,36.5,3.5,1,0,0,0,0,0,1,0,4.62,5.05,1,0,0.093073593073593
6.5,16,9.5,1,0,0,0,0,0,1,0,4.75,5.05,0,0,0.0631578947368421
9,23.75,14.75,1,0,0,0,0,0,1,0,4.95,5.25,1,0,0.0202020202020201
9.75,17.5,7.75,1,0,0,0,0,0,1,0,4.75,5.25,1,0,0.0631578947368421
24.5,20.5,-4,1,0,0,0,0,0,0,1,4.25,5.05,1,0,0.188235294117647
14,20.5,6.5,1,0,0,0,0,0,0,0,4.75,5.05,0,0,0.0631578947368421
19.5,25,5.5,1,0,0,0,0,0,0,0,4.62,5.14,0,0,0.093073593073593
